,goog_publishedat,goog_sentiment,goog_sentiment_score
535,2025-06-30,neutral,0.0
536,2025-06-30,neutral,0.0
537,2025-06-29,negative,0.5961667895317078
538,2025-06-29,neutral,0.0
539,2025-06-29,neutral,0.0
540,2025-06-29,neutral,0.0
541,2025-06-29,negative,0.9997312426567078
542,2025-06-28,neutral,0.0
543,2025-06-28,neutral,0.0
544,2025-06-28,neutral,0.0
545,2025-06-28,neutral,0.0
546,2025-06-28,positive,0.9602205753326416
547,2025-06-27,negative,0.9956629872322083
548,2025-06-27,negative,0.999992847442627
549,2025-06-27,neutral,0.0
550,2025-06-27,positive,0.9999997615814209
551,2025-06-27,neutral,0.0
552,2025-06-26,neutral,0.0
553,2025-06-26,positive,0.9607051014900208
554,2025-06-26,neutral,0.0
555,2025-06-26,neutral,0.0
556,2025-06-26,neutral,0.0
557,2025-06-25,neutral,0.0
558,2025-06-25,neutral,0.0
559,2025-06-25,negative,0.7157005071640015
560,2025-06-25,neutral,0.0
561,2025-06-25,neutral,0.0
562,2025-06-24,neutral,0.0
563,2025-06-24,neutral,0.0
564,2025-06-24,neutral,0.0
565,2025-06-24,negative,0.9987291693687439
566,2025-06-24,neutral,0.0
567,2025-06-23,neutral,0.0
568,2025-06-23,negative,0.9969900846481323
569,2025-06-23,neutral,0.0
570,2025-06-23,neutral,0.0
571,2025-06-23,neutral,0.0
572,2025-06-22,neutral,0.0
573,2025-06-22,negative,0.9999828338623047
574,2025-06-22,neutral,0.0
575,2025-06-22,neutral,0.0
576,2025-06-22,neutral,0.0
577,2025-06-21,neutral,0.0
578,2025-06-21,neutral,0.0
579,2025-06-21,negative,0.9999819993972778
580,2025-06-21,neutral,0.0
581,2025-06-21,neutral,0.0
582,2025-06-20,neutral,0.0
583,2025-06-20,neutral,0.0
584,2025-06-20,negative,0.9968520998954773
585,2025-06-20,negative,0.999966025352478
586,2025-06-20,neutral,0.0
587,2025-06-19,neutral,0.0
588,2025-06-19,neutral,0.0
589,2025-06-19,neutral,0.0
590,2025-06-19,neutral,0.0
591,2025-06-19,positive,0.9983658194541931
592,2025-06-18,neutral,0.0
593,2025-06-18,neutral,0.0
594,2025-06-18,neutral,0.0
595,2025-06-18,neutral,0.0
596,2025-06-18,positive,0.5760835409164429
597,2025-06-17,positive,1.0
598,2025-06-17,negative,0.9999703168869019
599,2025-06-17,neutral,0.0
600,2025-06-17,neutral,0.0
601,2025-06-17,neutral,0.0
602,2025-06-16,neutral,0.0
603,2025-06-16,negative,0.9998899698257446
604,2025-06-16,neutral,0.0
605,2025-06-16,neutral,0.0
606,2025-06-16,neutral,0.0
607,2025-06-15,neutral,0.0
608,2025-06-15,neutral,0.0
609,2025-06-15,neutral,0.0
610,2025-06-15,positive,0.9547246694564819
611,2025-06-15,neutral,0.0
612,2025-06-14,neutral,0.0
613,2025-06-14,neutral,0.0
614,2025-06-14,positive,0.7604313492774963
615,2025-06-14,neutral,0.0
616,2025-06-14,neutral,0.0
617,2025-06-13,neutral,0.0
618,2025-06-13,neutral,0.0
619,2025-06-13,neutral,0.0
620,2025-06-13,neutral,0.0
621,2025-06-13,neutral,0.0
622,2025-06-12,negative,0.99793541431427
623,2025-06-12,neutral,0.0
624,2025-06-12,negative,0.8168798089027405
625,2025-06-12,neutral,0.0
626,2025-06-12,negative,0.7782009840011597
627,2025-06-11,neutral,0.0
628,2025-06-11,neutral,0.0
629,2025-06-11,neutral,0.0
630,2025-06-11,negative,0.9995074272155762
631,2025-06-11,neutral,0.0
632,2025-06-10,neutral,0.0
633,2025-06-10,neutral,0.0
634,2025-06-10,neutral,0.0
635,2025-06-10,neutral,0.0
636,2025-06-10,neutral,0.0
637,2025-06-09,neutral,0.0
638,2025-06-09,neutral,0.0
639,2025-06-09,negative,0.9998524188995361
640,2025-06-09,neutral,0.0
641,2025-06-09,neutral,0.0
642,2025-06-08,neutral,0.0
643,2025-06-08,neutral,0.0
644,2025-06-08,neutral,0.0
645,2025-06-08,neutral,0.0
646,2025-06-08,neutral,0.0
647,2025-06-07,positive,0.9857535362243652
648,2025-06-07,neutral,0.0
649,2025-06-07,positive,0.9460588097572327
650,2025-06-07,neutral,0.0
651,2025-06-07,neutral,0.0
652,2025-06-06,positive,1.0
653,2025-06-06,neutral,0.0
654,2025-06-06,neutral,0.0
655,2025-06-06,negative,0.9999996423721313
656,2025-06-06,neutral,0.0
657,2025-06-05,neutral,0.0
658,2025-06-05,neutral,0.0
659,2025-06-05,neutral,0.0
660,2025-06-05,neutral,0.0
661,2025-06-05,neutral,0.0
662,2025-06-04,neutral,0.0
663,2025-06-04,negative,0.9999353885650635
664,2025-06-04,neutral,0.0
665,2025-06-04,neutral,0.0
666,2025-06-04,neutral,0.0
667,2025-06-03,neutral,0.0
668,2025-06-03,neutral,0.0
669,2025-06-03,neutral,0.0
670,2025-06-03,neutral,0.0
671,2025-06-03,positive,1.0
672,2025-06-02,neutral,0.0
673,2025-06-02,neutral,0.0
674,2025-06-02,neutral,0.0
675,2025-06-02,neutral,0.0
676,2025-06-02,neutral,0.0
677,2025-06-01,neutral,0.0
678,2025-06-01,positive,0.9999731779098511
679,2025-06-01,neutral,0.0
680,2025-06-01,positive,1.0
681,2025-06-01,neutral,0.0
682,2025-05-31,negative,0.9994408488273621
683,2025-05-31,neutral,0.0
684,2025-05-31,neutral,0.0
685,2025-05-31,neutral,0.0
686,2025-05-31,negative,0.9724435210227966
687,2025-05-30,neutral,0.0
688,2025-05-30,negative,0.9587454795837402
689,2025-05-30,neutral,0.0
690,2025-05-30,neutral,0.0
691,2025-05-30,neutral,0.0
692,2025-05-29,neutral,0.0
693,2025-05-29,neutral,0.0
694,2025-05-29,neutral,0.0
695,2025-05-29,negative,0.9999854564666748
696,2025-05-29,neutral,0.0
697,2025-05-28,neutral,0.0
698,2025-05-28,positive,0.9472410678863525
699,2025-05-28,neutral,0.0
700,2025-05-28,positive,0.999998927116394
701,2025-05-28,negative,0.8223896622657776
702,2025-05-27,positive,0.9469584822654724
703,2025-05-27,neutral,0.0
704,2025-05-27,neutral,0.0
705,2025-05-27,positive,0.719018816947937
706,2025-05-27,neutral,0.0
707,2025-05-26,neutral,0.0
708,2025-05-26,neutral,0.0
709,2025-05-26,neutral,0.0
710,2025-05-26,neutral,0.0
711,2025-05-26,positive,0.6289643049240112
712,2025-05-25,positive,0.9550444483757019
713,2025-05-25,positive,0.6473954319953918
714,2025-05-25,neutral,0.0
715,2025-05-25,neutral,0.0
716,2025-05-25,neutral,0.0
717,2025-05-24,neutral,0.0
718,2025-05-24,neutral,0.0
719,2025-05-24,neutral,0.0
720,2025-05-24,negative,0.6900665760040283
721,2025-05-24,neutral,0.0
722,2025-05-23,neutral,0.0
723,2025-05-23,neutral,0.0
724,2025-05-23,negative,0.838635265827179
725,2025-05-23,neutral,0.0
726,2025-05-23,neutral,0.0
727,2025-05-22,neutral,0.0
728,2025-05-22,neutral,0.0
729,2025-05-22,neutral,0.0
730,2025-05-22,positive,0.9999966621398926
731,2025-05-22,neutral,0.0
732,2025-05-21,neutral,0.0
733,2025-05-21,neutral,0.0
734,2025-05-21,negative,0.9630804657936096
735,2025-05-21,negative,0.9999672174453735
736,2025-05-21,positive,0.9999895095825195
737,2025-05-20,positive,0.9999996423721313
738,2025-05-20,neutral,0.0
739,2025-05-20,neutral,0.0
740,2025-05-20,neutral,0.0
741,2025-05-20,neutral,0.0
742,2025-05-19,negative,0.9958524703979492
743,2025-05-19,neutral,0.0
744,2025-05-19,neutral,0.0
745,2025-05-19,neutral,0.0
746,2025-05-19,neutral,0.0
747,2025-05-18,neutral,0.0
748,2025-05-18,neutral,0.0
749,2025-05-18,positive,0.9996539354324341
750,2025-05-18,neutral,0.0
751,2025-05-18,positive,0.9999620914459229
752,2025-05-17,neutral,0.0
753,2025-05-17,neutral,0.0
754,2025-05-17,neutral,0.0
755,2025-05-17,neutral,0.0
756,2025-05-17,neutral,0.0
757,2025-05-16,negative,0.9923991560935974
758,2025-05-16,neutral,0.0
759,2025-05-16,negative,0.8244264721870422
760,2025-05-16,neutral,0.0
761,2025-05-16,negative,0.9999969005584717
762,2025-05-15,neutral,0.0
763,2025-05-15,neutral,0.0
764,2025-05-15,positive,0.9999997615814209
765,2025-05-15,neutral,0.0
766,2025-05-15,neutral,0.0
767,2025-05-14,negative,0.7537827491760254
768,2025-05-14,neutral,0.0
769,2025-05-14,neutral,0.0
